id,active,department_ids/id,name
__setup__.hr_timesheet_activity_01,True,"__setup__.hr_department_slx,__setup__.hr_department_hr,__setup__.hr_department_finanz,__setup__.hr_department_logistik,__setup__.hr_department_it,__setup__.hr_department_marketing,__setup__.hr_department_produkt,__setup__.hr_department_verkauf","Organisation / Kontrolle / Ablage / Administration"
__setup__.hr_timesheet_activity_02,True,"__setup__.hr_department_slx,__setup__.hr_department_hr,__setup__.hr_department_finanz,__setup__.hr_department_logistik,__setup__.hr_department_it,__setup__.hr_department_marketing,__setup__.hr_department_produkt,__setup__.hr_department_verkauf","Planung / Konzeption / Strategie"
__setup__.hr_timesheet_activity_03,True,"__setup__.hr_department_slx,__setup__.hr_department_hr,__setup__.hr_department_finanz,__setup__.hr_department_logistik,__setup__.hr_department_it,__setup__.hr_department_marketing,__setup__.hr_department_produkt,__setup__.hr_department_verkauf","Sitzung"
__setup__.hr_timesheet_activity_04,True,"__setup__.hr_department_slx,__setup__.hr_department_hr,__setup__.hr_department_finanz,__setup__.hr_department_logistik,__setup__.hr_department_it,__setup__.hr_department_marketing,__setup__.hr_department_produkt,__setup__.hr_department_verkauf","Team- / Mitarbeiterführung"
__setup__.hr_timesheet_activity_05,True,"__setup__.hr_department_slx,__setup__.hr_department_hr,__setup__.hr_department_finanz,__setup__.hr_department_logistik,__setup__.hr_department_it,__setup__.hr_department_marketing,__setup__.hr_department_produkt,__setup__.hr_department_verkauf","Projektleitung / -koordination / -Initialisierung"
__setup__.hr_timesheet_activity_06,True,"__setup__.hr_department_slx,__setup__.hr_department_hr,__setup__.hr_department_finanz,__setup__.hr_department_logistik,__setup__.hr_department_it,__setup__.hr_department_marketing,__setup__.hr_department_produkt,__setup__.hr_department_verkauf","Reise"
__setup__.hr_timesheet_activity_07,True,__setup__.hr_department_logistik,"Einkauf"
__setup__.hr_timesheet_activity_08,True,__setup__.hr_department_logistik,"Auftragsbearbeitung / Avor"
__setup__.hr_timesheet_activity_09,True,__setup__.hr_department_logistik,"Lager"
__setup__.hr_timesheet_activity_10,True,__setup__.hr_department_logistik,"Produktion"
__setup__.hr_timesheet_activity_11,True,__setup__.hr_department_logistik,"Analyse Pool"
__setup__.hr_timesheet_activity_12,True,__setup__.hr_department_logistik,"Infrastruktur"
__setup__.hr_timesheet_activity_13,True,__setup__.hr_department_it,"IS - Support"
__setup__.hr_timesheet_activity_14,True,__setup__.hr_department_it,"IS - Software"
__setup__.hr_timesheet_activity_15,True,__setup__.hr_department_it,"IS - Dienstleistung"
__setup__.hr_timesheet_activity_16,True,__setup__.hr_department_it,"IT - Support"
__setup__.hr_timesheet_activity_17,True,__setup__.hr_department_it,"IT - Hardware"
__setup__.hr_timesheet_activity_18,True,__setup__.hr_department_it,"IT - Dienstleistung"
__setup__.hr_timesheet_activity_19,True,__setup__.hr_department_it,"IT - Netzwerk"
__setup__.hr_timesheet_activity_20,True,__setup__.hr_department_it,"Nst - Beschaffung"
__setup__.hr_timesheet_activity_21,True,__setup__.hr_department_it,"Nst - Dienstleistung"
__setup__.hr_timesheet_activity_22,True,__setup__.hr_department_marketing,"Gestaltung Bild (Recherchen, Montagen, Evaluation)"
__setup__.hr_timesheet_activity_23,True,__setup__.hr_department_marketing,"Medienplan-Administration, Überwachung, Qualität"
__setup__.hr_timesheet_activity_24,True,__setup__.hr_department_marketing,"Übersetzungen Fremdsprachen"
__setup__.hr_timesheet_activity_25,True,__setup__.hr_department_marketing,"Illustrationen (CAD, Technische Zeichnungen)"
__setup__.hr_timesheet_activity_26,True,__setup__.hr_department_marketing,"Format-/Medienausleitungen"
__setup__.hr_timesheet_activity_27,True,__setup__.hr_department_marketing,"Druckvorstufe/Datenübergabe/GzD"
__setup__.hr_timesheet_activity_28,True,__setup__.hr_department_marketing,"Fotografie"
__setup__.hr_timesheet_activity_29,True,__setup__.hr_department_marketing,"Werbedrucksachen, Messebeschriftungen"
__setup__.hr_timesheet_activity_30,True,__setup__.hr_department_marketing,"Redaktionelle Bearbeitungen (Optimierung/Durchgängigkeit)"
__setup__.hr_timesheet_activity_31,True,__setup__.hr_department_marketing,"Korrektur-/Kontrollarbeiten"
__setup__.hr_timesheet_activity_32,True,__setup__.hr_department_marketing,"Stammdatenpflege Bild (Produktfotos, Abbildungen, Logos)"
__setup__.hr_timesheet_activity_33,True,__setup__.hr_department_marketing,"Prozess Design"
__setup__.hr_timesheet_activity_34,True,__setup__.hr_department_marketing,"Kundengeschenke/Reklameartikel"
__setup__.hr_timesheet_activity_35,True,__setup__.hr_department_marketing,"Verschiedene Apparate für Produktion (Fotostudio, OS Hilfsmittel, …)"
__setup__.hr_timesheet_activity_36,True,__setup__.hr_department_produkt,"Pflichtenhefter"
__setup__.hr_timesheet_activity_37,True,__setup__.hr_department_produkt,"Qualitätssicherung"
__setup__.hr_timesheet_activity_38,True,__setup__.hr_department_produkt,"Retourenbearbeitung"
__setup__.hr_timesheet_activity_39,True,__setup__.hr_department_produkt,"Testverfahren"
__setup__.hr_timesheet_activity_40,True,__setup__.hr_department_produkt,"Redaktion, Stammdatenpflege"
__setup__.hr_timesheet_activity_41,True,__setup__.hr_department_produkt,"Interne Produktschulungen"
__setup__.hr_timesheet_activity_42,True,__setup__.hr_department_verkauf,"Extern: Kontaktaufbau und -pflege, Termin"
__setup__.hr_timesheet_activity_43,True,__setup__.hr_department_verkauf,"Extern: Beratung & Inbetriebnahmen"
__setup__.hr_timesheet_activity_44,True,__setup__.hr_department_verkauf,"Extern: techn. Support"
__setup__.hr_timesheet_activity_45,True,__setup__.hr_department_verkauf,"Initiative Aktivitäten"
__setup__.hr_timesheet_activity_46,True,__setup__.hr_department_verkauf,"Beratung (Konzepte, Planungsberatungen, Fehlersuche, Abklärungen)"
__setup__.hr_timesheet_activity_99,True,"__setup__.hr_department_slx,__setup__.hr_department_hr,__setup__.hr_department_finanz,__setup__.hr_department_logistik,__setup__.hr_department_it,__setup__.hr_department_marketing,__setup__.hr_department_produkt,__setup__.hr_department_verkauf",n/a
