id,name
__setup__.productclass_001,"Decken-Aufputz (AP)"
__setup__.productclass_002,"Decken-Aufputz Nass (NAP)"
__setup__.productclass_003,"Decken-Unterputz (UP)"
__setup__.productclass_004,"Decken-Unterputz Nass (NUP)"
__setup__.productclass_005,"Decken-Einbau (EB)"
__setup__.productclass_006,"Decken-Einbau Nass (NEB)"
__setup__.productclass_007,"Wand-Unterputz (UP)"
__setup__.productclass_008,"Wand-Unterputz Nass (NUP)"
__setup__.productclass_009,"Wand-Aufputz (AP)"
__setup__.productclass_010,"Wand-Aufputz Nass (NAP)"
__setup__.productclass_011,"AP-Rahmen (AP)"
__setup__.productclass_012,"AP-Rahmen Nass (NAP)"
__setup__.productclass_013,"Aufclipbar auf T5/T8 Leuchtstofflampen"
__setup__.productclass_014,"Einbau in Leuchten / Abzweigdosen"
__setup__.productclass_015,"Reiheneinbaugeräte (REG)"
__setup__.productclass_016,"Mobil / keine ortsfeste Montage"
__setup__.productclass_017,"Einsatz (N)"
__setup__.productclass_018,"Einsatz mit BefPlatte (NM)"
__setup__.productclass_019,"Einsatz mit AdaptSet (C)"
__setup__.productclass_020,"Einsatz mit AdaptSet und BefPlatte (CM)"
__setup__.productclass_021,"Abdeckrahmen / Adapter"
__setup__.productclass_022,"Abdeckmaterial (Clips/Kleber etc.)"
__setup__.productclass_023,"Ersatzteil / Reparatur / Diverse"
__setup__.productclass_024,"Decken-/Geräte-Einbau (EB)"
__setup__.productclass_025,"Decken-/Geräte-Einbau Nass (NEB)"
__setup__.productclass_026,"Pendelmontage"
__setup__.productclass_090,"andere"
__setup__.productclass_099,"Lost & Found"
