id,code,name,feller_name
__setup__.product_colorcode_NCSS0500Nmatt,"NCS S-0500-N matt","Hellgrau matt",
__setup__.product_colorcode_NCSS2010Y30Rmatt,"NCS S-2010-Y30R matt","Beige",
__setup__.product_colorcode_NCSS2500Nmatt,"NCS S-2500-N matt","Hellgrau matt",
__setup__.product_colorcode_NCSS3010Y10R,"NCS S-3010-Y10R","Beige",
__setup__.product_colorcode_NCSS3010Y10Rmatt,"NCS S-3010-Y10R matt","Beige matt",
__setup__.product_colorcode_NCSS6500N,"NCS S-6500-N","Dunkelgrau",
__setup__.product_colorcode_NCSS6500Nmatt,"NCS S-6500-N matt","Dunkelgrau matt",
__setup__.product_colorcode_NCSS7010Y30R,"NCS S-7010-Y30R","Braun",
__setup__.product_colorcode_NCSS7010Y30Rmatt,"NCS S-7010-Y30R matt","Braun",
__setup__.product_colorcode_NCSS9000Nmatt,"NCS S-9000-N matt","Schwarz matt",
__setup__.product_colorcode_RAL7024matt,"RAL 7024 matt","Graphitgrau",
__setup__.product_colorcode_RAL7035matt,"RAL 7035 matt","Lichtgrau",
__setup__.product_colorcode_RAL8014matt,"RAL 8014 matt","Sepiabraun matt",
__setup__.product_colorcode_RAL9003glanz,"RAL 9003 glanz","Signalweiss glanz",
__setup__.product_colorcode_RAL9003matt,"RAL 9003 matt","Signalweiss matt",
__setup__.product_colorcode_RAL9005,"RAL 9005","Tiefschwarz",
__setup__.product_colorcode_RAL9005glanz,"RAL 9005 glanz","Tiefschwarz glanz",
__setup__.product_colorcode_RAL9005matt,"RAL 9005 matt","Tiefschwarz matt",
__setup__.product_colorcode_RAL9006matt,"RAL 9006 matt","Weissaluminium matt",
__setup__.product_colorcode_RAL9010,"RAL 9010","Reinweiss",
__setup__.product_colorcode_RAL9010matt,"RAL 9010 matt","Reinweiss matt",
