id,product_tmpl_id/id,name/id,min_qty,price,product_name,product_code,delay,sequence,lastproduct_code,currency_id
scenario.supplierinfo_588,scenario.product_141704,partner_90000,1,34.39,PD3N-UP/W/360-BEG,92187,105,1,PN/92187-SWIS-M8,USD
scenario.supplierinfo_589,scenario.product_141705,partner_90000,1,30.23,PD3N/W/360/24VAC-DC/RR/CM,92515,105,1,,USD
scenario.supplierinfo_590,scenario.product_141706,partner_90000,1,46.68,PD2N 360 UP 1C M8 BEG 9010,94011,105,1,,USD
scenario.supplierinfo_591,scenario.product_141707,partner_90000,1,52.69,PD2N 360 UP 2C M8 BEG 9010,94021,105,1,,USD
scenario.supplierinfo_592,scenario.product_141708,partner_90000,1,36.01,PD2N-EN/SLA - BEG,94031,105,1,,USD
scenario.supplierinfo_869,scenario.product_141987,partner_90000,1,1.6,PD3N/WH/UP - COVER FRONT TEXT,PLA2202,105,1,,USD
scenario.supplierinfo_1,scenario.product_141231,partner_90000,1,12.6,MD2-130/W/NVR/CE,10245,105,1,,USD
scenario.supplierinfo_596,scenario.product_141712,partner_90000,1,46.62,PD2N-FP-M-1C-BEG,94010,105,1,PN/94010-SWIS-M8,USD
scenario.supplierinfo_597,scenario.product_141713,partner_90000,1,52.63,PD2N-FP-M-2C-BEG,94020,105,1,PN/94020-SWI-M8,USD
scenario.supplierinfo_594,scenario.product_141710,partner_90000,1,35.95,PD3N-FP/W/360/HCR-BEG,92197,105,1,PN/92197-SWI-M8,USD
scenario.supplierinfo_598,scenario.product_141714,partner_90000,1,36.01,PD2N-FP-SLA-BEG,94030,105,1,,USD
scenario.supplierinfo_316,scenario.product_141317,partner_90000,1,3.04,RC SUPRESSOR UNIT,10880,105,1,PN/10880-SWIS-CT,USD
scenario.supplierinfo_1585,scenario.product_142080,partner_90000,1,15.84,PD9/WH/2VR-SWI PINT POWER,92954,105,1,PN/92954-SWIS-CT,USD
scenario.supplierinfo_973,scenario.product_141986,partner_90000,1,0.53,PD9/SI-RING 9006 (FOR BLIND),PLA1714,105,1,,USD
scenario.supplierinfo_603,scenario.product_141719,partner_90000,1,36.69, L18/W/R180/SU-N/SWIS - KOMBI N,92648,105,1,PN/92648-SWI-M8,USD
scenario.supplierinfo_604,scenario.product_141720,partner_90000,1,27.09,Indoor 180 N Minuterie,65053,105,1,,USD
scenario.supplierinfo_605,scenario.product_141721,partner_90000,1,39.78,PD2 S 180 N Master 1C,65063,105,1,,USD
scenario.supplierinfo_539,scenario.product_141651,partner_90000,1,33.99,PD4-M/W/360/DUO-DIMM - BEG,94094,105,1,,USD
scenario.supplierinfo_540,scenario.product_141652,partner_90000,1,42.37,PD2 S MAX DE Master 1C/W,94014,105,1,,USD
scenario.supplierinfo_541,scenario.product_141653,partner_90000,1,37.18,PD4-M/W/360/SLAVE - BEG,94034,105,1,,USD
scenario.supplierinfo_543,scenario.product_141654,partner_90000,1,70.3,PD4-M/W/360/DUO - BEG,535937049,105,1,,USD
scenario.supplierinfo_585,scenario.product_141662,partner_90000,1,30.38,PD3-DE/W/360/ HCR MICRO,92184,105,1,,USD
scenario.supplierinfo_552,scenario.product_141649,partner_90000,1,27.14,PD4-DE/W/360/ HCR,92149,105,1,,USD
scenario.supplierinfo_1041,scenario.product_141663,partner_90000,1,59.97,PD2-FP-M/DALI/M8-BEG,92258,105,1,,USD
scenario.supplierinfo_554,scenario.product_141674,partner_90000,1,38.15,AL20/WH/280/LED-BEG AL20,91705,105,1,,USD
scenario.supplierinfo_555,scenario.product_141675,partner_90000,1,72.86,AL20/BL/280/LED-BEG AL20,91725,105,1,PN/91725-SWIS-CT,USD
scenario.supplierinfo_556,scenario.product_141677,partner_90000,1,30.3,AL20/WH/NM-BEG AL20 E27,91710,105,1,,USD
scenario.supplierinfo_557,scenario.product_141678,partner_90000,1,30.3,AL20/BL/NM-BEG AL20 E27,91730,105,1,,USD
scenario.supplierinfo_558,scenario.product_141672,partner_90000,1,4.29,CORNERBOX AL20/WHITE,92425,105,1,,USD
scenario.supplierinfo_559,scenario.product_141673,partner_90000,1,4.83,CORNERBOX AL20/BLACK,92418,105,1,,USD
scenario.supplierinfo_560,scenario.product_141680,partner_90000,1,33.94,L20/W/130-RC+130 PINT ZERO,97001,105,1,PN/97001-SWIS-M8,USD
scenario.supplierinfo_561,scenario.product_141681,partner_90000,1,33.94,L20/BL/130-RC-PLUS NEXT 130,97021,105,1,PN/97021-SWIS-M8,USD
scenario.supplierinfo_562,scenario.product_141682,partner_90000,1,33.94,L20/BR/130-RC-PLUS NEXT 130,97011,105,1,PN/97011-SWIS-M8,USD
scenario.supplierinfo_563,scenario.product_141683,partner_90000,1,42.36,L20/W/230-RC+230 PINT ZERO,97002,105,1,PN/97002-SWI-M8,USD
scenario.supplierinfo_564,scenario.product_141684,partner_90000,1,42.36,L20/BL/230-RC-PLUS NEXT 230,97022,105,1,PN/97022-SWIS-M8,USD
scenario.supplierinfo_565,scenario.product_141685,partner_90000,1,42.36,L20/BR/230-RC-PLUS NEXT 230,97012,105,1,PN/97012-SWIS-M8,USD
scenario.supplierinfo_566,scenario.product_141686,partner_90000,1,42.36,L20/SI/230-RC-PLUS NEXT 230,97042,105,1,PN/97042-SWIS-M8,USD
scenario.supplierinfo_567,scenario.product_141687,partner_90000,1,51.67,L20/W/280-RC-PLUS NEXT 280,97003,105,1,PN/97003-SWIS-M8,USD
scenario.supplierinfo_568,scenario.product_141688,partner_90000,1,51.67,L20/BL/280-RC-PLUS NEXT 280,97023,105,1,PN/97023-SWIS-M8,USD
scenario.supplierinfo_569,scenario.product_141689,partner_90000,1,51.67,L20/BR/280-RC-PLUS NEXT 280,97013,105,1,PN/97013-SWIS-M8,USD
scenario.supplierinfo_570,scenario.product_141690,partner_90000,1,1.45,L20/W- CORNER BOX,97004,105,1,PN/97004-SWIS-CT,USD
