id,name,city,user_id/id,region_id/id
npa_1000 Lausanne,1000,Lausanne,scenario.res_users_mse,scenario.region_-2144060037
zip_105,1000,Lausanne 1 Dépôt,scenario.res_users_mse,scenario.region_-2144060037
zip_106,1000,Lausanne 2,scenario.res_users_mse,scenario.region_-2144060037
zip_107,1000,Lausanne 3,scenario.res_users_mse,scenario.region_-2144060037
zip_110,1000,Lausanne Ouchy,scenario.res_users_mse,scenario.region_-2144060037
zip_111,1000,Lausanne 7,scenario.res_users_mse,scenario.region_-2144060037
zip_112,1000,Lausanne 8,scenario.res_users_mse,scenario.region_-2144060037
zip_114,1000,Lausanne 12,scenario.res_users_mse,scenario.region_-2144060037
zip_116,1000,Lausanne 14,scenario.res_users_mse,scenario.region_-2144060037
zip_117,1000,Lausanne 16,scenario.res_users_mse,scenario.region_-2144060037
zip_118,1000,Lausanne 17,scenario.res_users_mse,scenario.region_-2144060037
zip_119,1000,Lausanne 19,scenario.res_users_mse,scenario.region_-2144060037
zip_120,1000,Lausanne 20,scenario.res_users_mse,scenario.region_-2144060037
zip_121,1000,Lausanne 21,scenario.res_users_mse,scenario.region_-2144060037
zip_122,1000,Lausanne 22,scenario.res_users_mse,scenario.region_-2144060037
zip_123,1000,Lausanne 23,scenario.res_users_mse,scenario.region_-2144060037
zip_124,1000,Lausanne 24 Vennes,scenario.res_users_mse,scenario.region_-2144060037
npa_1000 Lausanne 25,1000,Lausanne 25,scenario.res_users_mse,scenario.region_-2144060037
npa_1000 Lausanne 26,1000,Lausanne 26,scenario.res_users_mse,scenario.region_-2144060037
npa_1000 Lausanne 27,1000,Lausanne 27,scenario.res_users_mse,scenario.region_-2144060037
zip_130,1000,Lausanne Distribution,scenario.res_users_mse,scenario.region_-2144060037
zip_132,1000,Lausanne Swisscom,scenario.res_users_mse,scenario.region_-2144060037
zip_9112,1000,Lausanne CT,scenario.res_users_mse,scenario.region_-2144060037
zip_9265,1000,Lausanne 10,scenario.res_users_mse,scenario.region_-2144060037
zip_9266,1000,Lausanne 18,scenario.res_users_mse,scenario.region_-2144060037
zip_145,1001,Lausanne,scenario.res_users_mse,scenario.region_-2144060037
zip_8483,1001,Lausanne Sozialberatung,scenario.res_users_mse,scenario.region_-2144060037
zip_9101,1001,Lausanne PF 331-120,scenario.res_users_mse,scenario.region_-2144060037
zip_9103,1001,Lausanne PF 331-140,scenario.res_users_mse,scenario.region_-2144060037
zip_9104,1001,Lausanne Arc Jurassien,scenario.res_users_mse,scenario.region_-2144060037
zip_149,1002,Lausanne,scenario.res_users_mse,scenario.region_-2144060037
npa_1003 Lausanne,1003,Lausanne,scenario.res_users_mse,scenario.region_-2144060037
zip_9036,1003,Lausanne Parking du Centre,scenario.res_users_mse,scenario.region_-2144060037
zip_9054,1003,Lausanne Terreaux PF,scenario.res_users_mse,scenario.region_-2144060037
npa_1004 Lausanne,1004,Lausanne,scenario.res_users_mse,scenario.region_-2144060037
npa_1005 Lausanne,1005,Lausanne,scenario.res_users_mse,scenario.region_-2144060037
npa_1006 Lausanne,1006,Lausanne,scenario.res_users_mse,scenario.region_-2144060037
zip_9035,1006,Lausanne Parking d'Ouchy,scenario.res_users_mse,scenario.region_-2144060037
npa_1007 Lausanne,1007,Lausanne,scenario.res_users_mse,scenario.region_-2144060037
npa_1008 Prilly,1008,Prilly,scenario.res_users_mse,scenario.region_-2144060037
npa_1008 Jouxtens-Mzery,1008,Jouxtens-Mézery,scenario.res_users_mse,scenario.region_-2144060037
npa_1009 Pully,1009,Pully,scenario.res_users_mse,scenario.region_-2144060037
npa_1010 Lausanne,1010,Lausanne,scenario.res_users_mse,scenario.region_-2144060037
npa_1011 Lausanne,1011,Lausanne,scenario.res_users_mse,scenario.region_-2144060037
npa_1012 Lausanne,1012,Lausanne,scenario.res_users_mse,scenario.region_-2144060037
zip_162,1014,Lausanne Adm cant VD,scenario.res_users_mse,scenario.region_-2144060037
npa_1015 Lausanne,1015,Lausanne,scenario.res_users_mse,scenario.region_-2144060037
zip_5608,1017,Lausanne Charles Veillon SA,scenario.res_users_mse,scenario.region_-2144060037
npa_1018 Lausanne,1018,Lausanne,scenario.res_users_mse,scenario.region_-2144060037
zip_8445,1019,Lausanne Services spéciaux,scenario.res_users_mse,scenario.region_-2144060037
npa_1020 Renens VD,1020,Renens VD,scenario.res_users_mse,scenario.region_-2144060037
zip_166,1020,Renens VD 1,scenario.res_users_mse,scenario.region_-2144060037
zip_167,1020,Renens VD 2,scenario.res_users_mse,scenario.region_-2144060037
zip_7248,1020,Renens VD 1 Distribution,scenario.res_users_mse,scenario.region_-2144060037
zip_8956,1020,Renens Gare CFF,scenario.res_users_mse,scenario.region_-2144060037
npa_1022 Chavannes-Renens,1022,Chavannes-près-Renens,scenario.res_users_mse,scenario.region_-2144060037
npa_1023 Crissier,1023,Crissier,scenario.res_users_mse,scenario.region_-2144060037
zip_7172,1023,Crissier Distribution,scenario.res_users_mse,scenario.region_-2144060037
