id,name,categ_id/id,purchase_ok,sale_ok,type,product_manager/id,property_account_income_id,property_account_expense_id,receipt_checklist,supplier_taxes_id,taxes_id,description_purchase
product_template_sa_SA-BankundPost(Beispielartikel),SA/FIN - Bank- und Post-Spesen,product_category_sa_BankundPost,True,False,consu,scenario.res_users_sgl,,,,TVA 8.0% sur invest. et autres ch. (Incl. TN),TVA due a 8.0% (TN),
product_template_sa_SA-AFEX,SA/FIN – Afex-Zahlung,product_category_sa_afex,True,False,consu,scenario.res_users_sgl,,,,,,
product_template_sa_SA-VISECA,SA/FIN – Viseca-Zahlung,product_category_sa_viseca,True,False,consu,scenario.res_users_sgl,,,,,,
product_template_sa_SA-EEV,SA/FIN – EEV-Zahlung,product_category_sa_eev,True,False,consu,scenario.res_users_sgl,,,,,,
product_template_sa_SA-EEV_Rückvergütung,SA/FIN – EEV-Rückvergütung,product_category_sa_eev,True,False,consu,scenario.res_users_sgl,3802,3802,,,,
product_template_sa_SA-EM,SA/FIN – EM-Zahlung,product_category_sa_eev,True,False,consu,scenario.res_users_sgl,,,,,,
product_template_sa_SA-EnergieundEntsorgung(Beispielartikel),SA/FIN - Energie und Entsorgung,product_category_sa_EnergieundEntsorgung,True,False,consu,scenario.res_users_sgl,,,,TVA 8.0% sur invest. et autres ch. (Incl. TN),TVA due a 8.0% (TN),
product_template_sa_SA-Gebühren/Abgaben(Beispielartikel),SA/FIN - Gebühren / Abgaben,product_category_sa_Gebühren/Abgaben,True,False,consu,scenario.res_users_sgl,,,,TVA 8.0% sur invest. et autres ch. (Incl. TN),TVA due a 8.0% (TN),
product_template_sa_SA-Miete(Beispielartikel),SA/FIN - Miete,product_category_sa_Miete,True,False,consu,scenario.res_users_sgl,,,,TVA 8.0% sur invest. et autres ch. (Incl. TN),TVA due a 8.0% (TN),
product_template_sa_SA-Versicherungen(Beispielartikel),SA/FIN - Versicherungen,product_category_sa_Versicherungen,True,False,consu,scenario.res_users_sgl,,,,TVA 8.0% sur invest. et autres ch. (Incl. TN),TVA due a 8.0% (TN),
product_template_sa_SA-Verwaltung(Beispielartikel),SA/FIN - Verwaltung,product_category_sa_Verwaltung,True,False,consu,scenario.res_users_sgl,,,,TVA 8.0% sur invest. et autres ch. (Incl. TN),TVA due a 8.0% (TN),
product_template_sa_SA-Porti(Beispielartikel),SA/FIN - Porti,product_category_sa_Porti,True,False,consu,scenario.res_users_sgl,,,,TVA 8.0% sur invest. et autres ch. (Incl. TN),TVA due a 8.0% (TN),
product_template_sa_SA-SpesenundKommissionen(Beispielartikel),SA/FIN - Spesen und Kommissionen,product_category_sa_SpesenundKommissionen,True,False,consu,scenario.res_users_sgl,,,,TVA 8.0% sur invest. et autres ch. (Incl. TN),TVA due a 8.0% (TN),
product_template_sa_SA-BenzinFahrzeuge(Beispielartikel),SA/FIN - Benzin Fahrzeuge,product_category_sa_BenzinFahrzeuge,True,False,consu,scenario.res_users_sgl,,,,TVA 8.0% sur invest. et autres ch. (Incl. TN),TVA due a 8.0% (TN),
product_template_sa_SA-Entsorgung/Kehricht(Beispielartikel),SA/FIN - Entsorgung / Kehricht,product_category_sa_Entsorgung/Kehricht,True,False,consu,scenario.res_users_sgl,,,,TVA 8.0% sur invest. et autres ch. (Incl. TN),TVA due a 8.0% (TN),
product_template_sa_SA-Strom(Beispielartikel),SA/FIN - Strom,product_category_sa_Strom,True,False,consu,scenario.res_users_sgl,,,,TVA 8.0% sur invest. et autres ch. (Incl. TN),TVA due a 8.0% (TN),
product_template_sa_SA-Gebühren/Abgabendivers(Beispielartikel),SA/FIN - Gebühren / Abgaben divers,product_category_sa_Gebühren/Abgabendivers,True,False,consu,scenario.res_users_sgl,,,,TVA 8.0% sur invest. et autres ch. (Incl. TN),TVA due a 8.0% (TN),
product_template_sa_SA-vstwaren,SA/FIN - Vorsteuer Material / Waren / DL / Energie,product_category_sa_vstwaren,True,False,consu,scenario.res_users_sgl,,,,TVA 8.0% sur invest. et autres ch. (Incl. TN),TVA due a 8.0% (TN),
product_template_sa_SA-vstinvest,"SA/FIN - Vorsteuer Investitionen, übriger Betriebsaufwand",product_category_sa_vstinvest,True,False,consu,scenario.res_users_sgl,,,,TVA 8.0% sur invest. et autres ch. (Incl. TN),TVA due a 8.0% (TN),
product_template_sa_SA-Verkehrsabgaben(Beispielartikel),SA/FIN - Verkehrsabgaben,product_category_sa_Verkehrsabgaben,True,False,consu,scenario.res_users_sgl,,,,TVA 8.0% sur invest. et autres ch. (Incl. TN),TVA due a 8.0% (TN),
product_template_sa_SA-Büromietzinsen(Beispielartikel),SA/FIN - Büromietzinsen,product_category_sa_Büromietzinsen,True,False,consu,scenario.res_users_sgl,,,,TVA 8.0% sur invest. et autres ch. (Incl. TN),TVA due a 8.0% (TN),
